"","SHHADID","SPANEL","SSUID","SWAVE","PNUM","MONTHCODE","WPFINWGT","TAGE","EDUCATION","SEX","RACE","METRO_STATUS","EMPLOYMENT_TYPE","CLASS_OF_WORKER","TPTOTINC","ANY_RETIREMENT_ACCESS","PARTICIPATING","MATCHING","TJB1_JOBHRS1","TOTYEARINC","in_age_range","FULL_PART_TIME","TVAL_RET"
"11",11,2023,41804946523,2,103,12,6925.37475734855,24,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3826,"Yes","Yes","Yes",40,45912,"yes","full time",2000
"12",11,2022,41804977022,3,102,12,7315.61900817778,58,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2955,"No","No","No",40,35460,"yes","full time",300000
"13",11,2022,41806820722,3,101,12,11671.5654642385,35,"Bachelor's degree or higher","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2300,"No","No","No",20,27600,"yes","part time",0
"14",11,2023,41806883123,2,101,12,5064.96070230156,54,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4295,"No","No","No",50,51540,"yes","full time",0
"15",11,2024,41806894424,1,102,12,2284.775411897,56,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",6673,"Yes","Yes","No",68,80076,"yes","full time",25000
"16",11,2021,41809214921,4,101,12,10024.1747095064,33,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",8356,"Yes","Yes","Yes",45,100272,"yes","full time",74500
"17",11,2021,41809214921,4,102,12,10024.1747095064,33,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",5432,"Yes","Yes","Yes",50,65184,"yes","full time",10500
"18",11,2023,41809220723,2,101,12,7828.6821838368,45,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",40557,"Yes","Yes","Yes",68,486684,"yes","full time",110000
"19",11,2023,41809263023,2,101,12,18881.724925335,25,"Bachelor's degree or higher","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",4191,"No","No","No",40,50292,"yes","full time",0
"20",11,2022,41810124322,3,101,12,8425.12877187407,64,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",3152,"No","No","No",30,37824,"yes","part time",0
"21",11,2023,41810124323,2,102,12,5783.00023581845,55,"High School or less","Male","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",2659,"No","No","No",40,31908,"yes","full time",0
"22",11,2022,41810149422,3,101,12,11956.8426548265,31,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",1589,"No","No","No",21,19068,"yes","part time",0
"23",11,2023,41811460223,2,101,12,6274.73711542858,64,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",6214,"Yes","No","No",50,74568,"yes","full time",40000
"24",11,2021,41813614921,4,102,12,9056.30020605263,35,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",12545,"Yes","Yes","Yes",40,150540,"yes","full time",150000
"25",11,2024,41817202324,1,101,12,2957.42907018632,62,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",6261,"Yes","Yes","Yes",40,75132,"yes","full time",405000
"26",11,2024,41817202324,1,102,12,3196.83131539141,56,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",3107,"No","No","No",5,37284,"yes","part time",0
"27",11,2023,41817203523,2,102,12,8331.02912418986,37,"High School or less","Male","Asian","Metropolitan area","Employer","Employee of a private, for-profit company",19721,"No","No","No",50,236652,"yes","full time",0
"28",11,2023,41817237323,2,101,12,3898.85336621824,65,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",4345,"No","No","No",40,52140,"yes","full time",0
"29",11,2023,41817237323,2,102,12,3898.85336621824,60,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3911,"No","No","No",40,46932,"yes","full time",0
"30",11,2023,41817251623,2,101,12,6210.13201582668,71,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3612,"No","No","No",24,43344,"no","part time",56100
"31",11,2024,41817268924,1,101,12,3354.3094628969,55,"Bachelor's degree or higher","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",11364,"Yes","Yes","Yes",40,136368,"yes","full time",115600
"32",21,2022,41817274622,3,101,12,10398.5843328774,25,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",678,"No","No","No",12,8136,"yes","part time",0
"33",21,2022,41817274622,3,302,12,14629.1836127163,23,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2803,"No","No","No",5,33636,"yes","part time",0
"34",11,2023,41817276523,2,101,12,3580.6046899935,41,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",8035,"Yes","Yes","Yes",40,96420,"yes","full time",295000
"35",11,2023,41817276523,2,102,12,3580.6046899935,43,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",14441,"Yes","Yes","Yes",40,173292,"yes","full time",390000
"36",11,2021,41817288721,4,102,12,12256.8106977236,48,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",7640,"Yes","Yes","Yes",50,91680,"yes","full time",2500
"37",11,2022,41819923322,3,101,12,11415.8252021988,45,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",12806,"Yes","Yes","Yes",40,153672,"yes","full time",47000
"38",11,2022,41819923322,3,102,12,11415.8252021988,41,"Bachelor's degree or higher","Female","Asian","Nonmetropolitan area","Employer","Employee of a private, for-profit company",11364,"Yes","Yes","Yes",40,136368,"yes","full time",20000
"39",11,2022,41819936022,3,101,12,20622.5343931039,39,"Bachelor's degree or higher","Female","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",7482,"No","No","No",45,89784,"yes","full time",0
"40",11,2022,41819936022,3,103,12,26363.6334362149,19,"Some college","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",652,"No","No","No",30,7824,"yes","part time",0
"41",11,2024,41819975324,1,103,12,4005.14477698582,31,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",957,"No","No","No",40,11484,"yes","full time",0
"42",11,2024,41819975324,1,104,12,4005.14477698582,32,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2430,"Yes","Yes","Yes",40,29160,"yes","full time",1120
"43",11,2024,41820944924,1,101,12,3379.64327519209,56,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4321,"Yes","Yes","Yes",45,51852,"yes","full time",9920
"44",11,2021,41820990521,4,101,12,6161.34376158229,61,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",650,"Yes","Yes","Yes",12,7800,"yes","part time",846000
"45",11,2024,41821517424,1,101,12,2183.61590925305,57,"High School or less","Male","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3324,"Yes","Yes","Yes",45,39888,"yes","full time",2000
"46",11,2024,41821537324,1,101,12,3220.29304001893,66,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4997,"No","No","No",40,59964,"no","full time",0
"47",11,2024,41822806024,1,101,12,3944.75387541043,62,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",776,"No","No","No",6,9312,"yes","part time",6000
"48",11,2023,41822814923,2,101,12,10569.4361975186,52,"High School or less","Male","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",3426,"No","No","No",40,41112,"yes","full time",0
"49",11,2023,41822814923,2,103,12,24647.1656440069,21,"Some college","Female","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",2684,"No","No","No",38,32208,"yes","full time",0
"50",11,2022,41827663022,3,101,12,11693.2586692704,26,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",408,"No","No","No",32,4896,"yes","part time",0
"51",11,2024,41830344924,1,101,12,6146.35864766843,38,"Bachelor's degree or higher","Male","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",533,"No","No","No",40,6396,"yes","full time",0
"52",11,2024,41830344924,1,102,12,4256.76126370599,36,"High School or less","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",2998,"No","No","No",40,35976,"yes","full time",0
"53",11,2024,41833406024,1,101,12,3649.69274012789,55,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",8452,"Yes","Yes","No",50,101424,"yes","full time",264000
"54",11,2022,41833419722,3,101,12,6402.2153767421,58,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",6281,"Yes","Yes","Yes",40,75372,"yes","full time",102000
"55",11,2022,41833419722,3,102,12,6402.2153767421,61,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",18649,"Yes","Yes","Yes",40,223788,"yes","full time",360000
"56",11,2022,41833419722,3,301,12,11919.6576231381,28,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2142,"No","No","No",68,25704,"yes","full time",0
"57",11,2021,41833425921,4,101,12,5748.26373606513,40,"High School or less","Female","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",1877,"No","No","No",40,22524,"yes","full time",0
"58",11,2021,41833425921,4,102,12,5748.26373606513,54,"High School or less","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",5214,"No","No","No",50,62568,"yes","full time",0
"59",11,2023,41833466023,2,101,12,6358.35393687692,59,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",6542,"Yes","Yes","Yes",40,78504,"yes","full time",18000
"60",11,2024,41833488324,1,101,12,4170.0487676033,25,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",5220,"Yes","Yes","No",40,62640,"yes","full time",3500
"61",21,2022,41833494422,3,101,12,4319.82243551808,41,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3378,"No","No","No",40,40536,"yes","full time",0
"62",11,2023,41840606023,2,102,12,4442.66310434798,50,"Some college","Male","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",1490,"No","No","No",25,17880,"yes","part time",0
"63",11,2023,41840606023,2,103,12,7336.78526480619,20,"High School or less","Male","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2457,"No","No","No",39,29484,"yes","full time",0
"64",11,2024,41840614924,1,101,12,2324.84347782516,43,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",3347,"Yes","Yes","No",40,40164,"yes","full time",50000
"65",11,2022,41840620722,3,101,12,8699.33361172115,27,"Some college","Female","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3297,"Yes","Yes","Yes",36,39564,"yes","full time",2000
"66",11,2021,41840666021,4,101,12,7218.02626133809,53,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",10883,"Yes","Yes","Yes",40,130596,"yes","full time",90000
"67",11,2021,41840666021,4,102,12,12840.1819446333,20,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",752,"No","No","No",20,9024,"yes","part time",0
"68",11,2021,41840666021,4,401,12,9788.7796573249,18,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",435,"No","No","No",30,5220,"yes","part time",0
"69",11,2024,41840806024,1,101,12,2631.67797088965,62,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3148,"No","No","No",40,37776,"yes","full time",131000
"70",11,2022,41840863022,3,102,12,16611.8580715872,48,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",481,"No","No","No",9,5772,"yes","part time",0
"71",11,2024,41841829124,1,101,12,3886.84289102562,66,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",6084,"No","No","No",40,73008,"no","full time",0
"72",11,2024,41847276524,1,103,12,4023.29387802668,30,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2205,"No","No","No",35,26460,"yes","full time",0
"73",11,2024,41850043124,1,101,12,3890.88008469121,60,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",5809,"No","No","No",11,69708,"yes","part time",70000
"74",11,2024,41850043124,1,103,12,5029.25933820781,20,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",125,"No","No","No",2,1500,"yes","part time",0
"75",11,2022,41850045822,3,102,12,14274.9684046106,40,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",4346,"Yes","Yes","Yes",40,52152,"yes","full time",27000
"76",11,2022,41850045822,3,103,12,13105.8644498596,18,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",869,"No","No","No",20,10428,"yes","part time",0
"77",11,2022,41850084422,3,103,12,15037.6727348949,53,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",748,"Yes","Yes","Yes",40,8976,"yes","full time",72600
"78",11,2024,41850093224,1,103,12,3116.0146271328,42,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2120,"No","No","No",40,25440,"yes","full time",0
"79",11,2024,41850093224,1,104,12,3358.97831579284,16,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",782,"No","No","No",15,9384,"no","part time",0
"80",11,2021,41850165521,4,101,12,6213.17626724107,53,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",1738,"No","No","No",40,20856,"yes","full time",0
"81",11,2021,41850165521,4,301,12,8535.95438106283,34,"Some college","Male","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",4345,"No","No","No",40,52140,"yes","full time",0
"82",11,2021,41853317421,4,101,12,7598.6961856231,29,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3163,"Yes","Yes","Yes",40,37956,"yes","full time",20000
"83",11,2024,41853354524,1,101,12,4921.58836456549,57,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",3209,"Yes","Yes","Yes",40,38508,"yes","full time",110000
"84",11,2022,41855507022,3,101,12,9465.99171952026,42,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3595,"No","No","No",35,43140,"yes","full time",6000
"85",11,2022,41855507022,3,102,12,9465.99171952026,45,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",10455,"Yes","Yes","No",40,125460,"yes","full time",9450
"86",11,2022,41855507022,3,103,12,8219.59515643582,17,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",130,"No","No","No",3,1560,"no","part time",0
"87",11,2022,41855507022,3,104,12,9616.23041928993,16,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",348,"No","No","No",8,4176,"no","part time",0
"88",11,2024,41859734324,1,101,12,3694.00881157458,36,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3525,"Yes","Yes","Yes",7,42300,"yes","part time",50000
"89",11,2024,41859776524,1,101,12,3949.91541471206,28,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2974,"No","No","No",40,35688,"yes","full time",0
"90",11,2022,41860602922,3,102,12,8245.33899207535,19,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",652,"No","No","No",20,7824,"yes","part time",0
"91",11,2024,41860931924,1,102,12,4118.37519469311,42,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",5432,"No","No","No",40,65184,"yes","full time",0
"92",11,2024,41861007024,1,101,12,6977.47247776471,53,"High School or less","Female","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4432,"Yes","Yes","Yes",37,53184,"yes","full time",27000
"93",11,2024,41861007024,1,102,12,6977.47247776471,57,"High School or less","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",7457,"Yes","Yes","Yes",40,89484,"yes","full time",7000
"94",11,2024,41861007024,1,103,12,5176.09280663718,30,"Some college","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",1521,"No","No","No",36,18252,"yes","full time",0
"95",11,2024,41861007024,1,104,12,5529.31269303204,23,"Some college","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2411,"No","No","No",40,28932,"yes","full time",0
"96",11,2024,41861007024,1,105,12,5094.85405328533,18,"High School or less","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",985,"No","No","No",35,11820,"yes","full time",0
"97",11,2024,41863543124,1,101,12,3077.11786844389,61,"Some college","Male","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",17263,"Yes","Yes","Yes",52,207156,"yes","full time",20000
"98",11,2024,41863554924,1,101,12,0,24,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",435,"No","No","No",6,5220,"yes","part time",0
"99",11,2024,41866245824,1,102,12,3663.60650189514,32,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",3042,"No","No","No",42,36504,"yes","full time",0
"100",11,2024,41866245824,1,104,12,3633.86341414541,35,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",5821,"No","No","No",42,69852,"yes","full time",0
"101",11,2021,41868825921,4,101,12,6524.4956071809,64,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",26655,"Yes","Yes","No",45,319860,"yes","full time",405000
"102",11,2021,41868825921,4,102,12,6524.4956071809,69,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",1098,"No","No","No",20,13176,"no","part time",3460000
"103",11,2022,41868954522,3,102,12,10174.1547806369,42,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",29631,"Yes","Yes","Yes",45,355572,"yes","full time",250000
"104",11,2022,41868954522,3,103,12,10211.832645217,16,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",419,"No","No","No",20,5028,"no","part time",0
"105",11,2024,41868965524,1,101,12,3818.05721003531,28,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",1760,"No","No","No",30,21120,"yes","part time",0
"106",11,2024,41868965524,1,102,12,3818.05721003531,28,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3998,"Yes","Yes","Yes",40,47976,"yes","full time",30000
"107",31,2021,41868993321,4,102,12,16677.5722331493,26,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2202,"Yes","Yes","Yes",68,26424,"yes","full time",5830
"108",11,2021,41868995021,4,101,12,15976.4770338157,47,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",1951,"No","No","No",30,23412,"yes","part time",0
"109",11,2021,41868995021,4,102,12,15976.4770338157,49,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3042,"No","No","No",55,36504,"yes","full time",0
"110",41,2021,41868995021,4,103,12,16168.0749903554,29,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3738,"No","No","No",68,44856,"yes","full time",0
"111",11,2021,41875544921,4,101,12,13921.1953196097,36,"Some college","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",4380,"Yes","Yes","Yes",40,52560,"yes","full time",25500
"112",11,2023,41875645823,2,102,12,23599.6458341508,53,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3481,"Yes","Yes","Yes",40,41772,"yes","full time",56000
"113",11,2021,41878384421,4,301,12,7071.01367327237,38,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",5434,"Yes","Yes","Yes",50,65208,"yes","full time",55100
"114",11,2024,41878384424,1,102,12,3851.80720561471,36,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",3911,"No","No","No",40,46932,"yes","full time",0
"115",11,2024,41881693224,1,101,12,5971.15682455537,53,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",6919,"Yes","Yes","Yes",45,83028,"yes","full time",38000
"116",11,2024,41882828324,1,101,12,1928.1072920732,61,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",1825,"No","No","No",28,21900,"yes","part time",0
"117",11,2024,41882837324,1,101,12,3333.21814346823,33,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4167,"No","No","No",40,50004,"yes","full time",0
"118",11,2024,41882837324,1,102,12,3333.21814346823,29,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",6935,"No","No","No",68,83220,"yes","full time",0
"119",11,2024,41884719624,1,101,12,4935.4643900477,31,"Bachelor's degree or higher","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",7437,"Yes","Yes","Yes",50,89244,"yes","full time",48000
"120",11,2022,41884745822,3,101,12,18956.6405033627,39,"High School or less","Female","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",2614,"Yes","Yes","Yes",40,31368,"yes","full time",1500
"121",11,2022,41884754922,3,101,12,25668.0500240475,41,"Some college","Male","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",10963,"No","No","No",40,131556,"yes","full time",0
"122",11,2022,41884754922,3,102,12,25668.0500240475,42,"High School or less","Female","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",3129,"No","No","No",40,37548,"yes","full time",420
"123",11,2024,41892514924,1,102,12,4669.3934524259,28,"Bachelor's degree or higher","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",504,"No","No","No",10,6048,"yes","part time",0
"124",11,2022,41892525922,3,101,12,19692.0075370809,50,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",8743,"No","No","No",45,104916,"yes","full time",130000
"125",11,2022,41892525922,3,102,12,19457.280255755,43,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",5849,"No","No","No",40,70188,"yes","full time",0
"126",11,2024,41892566024,1,101,12,5009.30962024957,47,"Bachelor's degree or higher","Male","Asian","Metropolitan area","Employer","Employee of a private, for-profit company",33833,"Yes","Yes","Yes",40,405996,"yes","full time",180000
"127",11,2022,41893244922,3,101,12,10881.7724743617,54,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",6269,"Yes","Yes","Yes",40,75228,"yes","full time",110000
"128",11,2021,41894513821,4,101,12,13174.3643129125,63,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",13547,"No","No","No",40,162564,"yes","full time",0
"129",11,2021,41894513821,4,103,12,12533.7827828493,32,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",2204,"No","No","No",12,26448,"yes","part time",0
"130",11,2024,41894569224,1,102,12,5138.32535124532,36,"Some college","Female","Hispanic","Metropolitan area","Employer","Employee of a private, not-for-profit company",1176,"No","No","No",32,14112,"yes","part time",0
"131",11,2022,41896717422,3,101,12,7049.55762821769,62,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",22304,"Yes","Yes","Missing",68,267648,"yes","full time",900000
"132",11,2024,41898243124,1,101,12,6017.31905905535,59,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",11114,"Yes","Yes","Yes",55,133368,"yes","full time",60000
"133",11,2022,41898254922,3,101,12,17979.2499898959,45,"High School or less","Female","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",2764,"No","No","No",40,33168,"yes","full time",0
"134",11,2022,41898254922,3,102,12,17979.2499898959,48,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",5599,"No","No","No",40,67188,"yes","full time",0
